Item,Storage Location,Category,Meal Planning,Note
Agave syrup,Pantry,Sugar & Sweeteners,,
"Nuts, Almonds",Pantry,Dried Fruit/Nuts,,
Apple cider vinegar,Pantry,Basics,,
Apples,Refrigerator,Fresh Produce - Fruits,,
Applesauce,Pantry,Snacks and Cereals,,
Asian fish sauce,Pantry/Refrigerator,Condiments,,
Avocados,Refrigerator,Fresh Produce - Vegetable,,
Bacon,Freezer,Meat,,
Barbecue sauce,Pantry/Refrigerator,Condiments,,
Baking powder,Pantry,Baking,,
Baking soda,Pantry,Baking,,
Balsamic or sherry vinegar,Pantry,Basics,,
Bananas,Refrigerator,Fresh Produce - Fruits,,
Bay leaves,Pantry,Dried Herbs and Spices,,
"Beans, 15-bean soup",Pantry,Dry Goods,,
"Beans, Northern",Pantry,Dry Goods,,
"Beans, Navy",Pantry,Dry Goods,,
"Beans, Kidney ",Pantry,Dry Goods,,
Bell peppers,Refrigerator,Fresh Produce - Aromatics,,
Frozen berries,Freezer,Frozen Produce,,
Black peppercorns,Pantry,Dried Herbs and Spices,,
Frozen blueberries,Freezer,Frozen Produce,,
"Chicken Breasts, boneless",Freezer,Meat,,
"Bread, loaf",Pantry,Bread,,
Bagels,Pantry,Bread,,
Pita,Pantry,Bread,,
Breadcrumbs: plain or panko,Pantry,Rice and Grains,,
Breakfast cereal,Pantry,Snacks and Cereals,Breakfast,
Fresh broccoli or cauliflower,Refrigerator,Fresh Produce - Vegetable,,
Fresh cauliflower,Refrigerator,Fresh Produce - Vegetable,,
Frozen broccoli,Freezer,Frozen Produce,,
Brown rice,Pantry,Rice and Grains,,
Frozen cauliflower,Freezer,Frozen Produce,,
Brown sugar,Pantry,Sugar & Sweeteners,,
Brussels sprouts,Refrigerator,Fresh Produce - Vegetable,Dinner,
Cabbage,Refrigerator,Fresh Produce - Vegetable,Dinner,
Cajun seasoning,Pantry,Dried Herbs and Spices,,
Carrots,Refrigerator,Fresh Produce - Vegetable,,
"Nuts, Cashews",Pantry,Dried Fruit/Nuts,,
Cayenne pepper,Pantry,Dried Herbs and Spices,,
Celery,Refrigerator,Fresh Produce - Aromatics,,
"Cheese, Cheddar",Refrigerator,Dairy and Eggs,,
"Cheese, Mozzarella",Refrigerator,Dairy and Eggs,,
Chicken broth,Pantry,Canned Goods,,
Chicken legs,Freezer,Meat,Dinner,
Chile powder,Pantry,Dried Herbs and Spices,,
Chiles: chipotles in adobo or pickled jalapenos,Pantry,Canned Goods,,
Chocolate: chips or bar,Pantry,Baking,,
Cilantro,Refrigerator,Fresh Produce - Herbs,,
Cocoa powder (unsweetened),Pantry,Baking,,
Coconut Water,Pantry,Water,,
Coffee,Pantry,Dry Goods,,
Confectioners' sugar,Pantry,Sugar & Sweeteners,,
Cookies or biscuits,Pantry,Snacks and Cereals,,
Couscous,Pantry,Rice and Grains,Dinner,
Crackers,Pantry,Snacks and Cereals,,
Dried cranberries,Pantry,Dried Fruit/Nuts,,
Cream of tartar,Pantry,Baking,,
Crushed red pepper,Pantry,Dried Herbs and Spices,,
Cucumbers,Refrigerator,Fresh Produce - Vegetable,,
Curry powder,Pantry,Dried Herbs and Spices,,
Eggs,Refrigerator,Dairy and Eggs,Breakfast,
Evaporated milk,Pantry,Baking,,
Extra virgin olive oil,Pantry,Basics,,
Farro,Pantry,Rice and Grains,,
Fennel or dill seed,Pantry,Dried Herbs and Spices,,
Fine salt,Pantry,Dried Herbs and Spices,,
Flat-leaf parsley,Refrigerator,Fresh Produce - Herbs,,
"Flour: all purpose, whole wheat or pastry",Pantry,Baking,,
Garlic,Pantry,Fresh Produce - Aromatics,,
Ginger,Pantry,Fresh Produce - Vegetable,,
Goat cheese,Refrigerator,Dairy and Eggs,,
Granulated garlic,Pantry,Dried Herbs and Spices,,
Granulated sugar,Pantry,Sugar & Sweeteners,,
Grapes,Refrigerator,Fresh Produce - Fruits,,
Green beans,Refrigerator,Fresh Produce - Vegetable,,
Ground beef,Freezer,Meat,,
"Ground beef, ground turkey or Italian sausage",Freezer,Meat,,
Ground cinnamon,Pantry,Dried Herbs and Spices,,
